timestamp	player	team	role	selection
8/17/2021 13:37:58	Pelican	ATL	DPS	first_team
8/17/2021 13:37:58	Ga9a	CDH	MT	first_team
8/17/2021 13:37:58	Skewed	LAG	MS/FS	first_team
8/17/2021 13:37:58	MuZe	LAG	MT	first_team
8/17/2021 13:37:58	Kaan	PAR	FS	first_team
8/17/2021 13:37:58	Aspire	TOR	DPS	first_team
8/17/2021 13:37:58	Faith	BOS	MS	second_team
8/17/2021 13:37:58	Mmonk	CDH	FS	second_team
8/17/2021 13:37:58	Daan	PAR	MT	second_team
8/17/2021 13:37:58	Vestola	PAR	OT	second_team
8/17/2021 13:37:58	Na1st	TOR	DPS	second_team
8/17/2021 13:37:58	Ansoonjae	TOR	MS	second_team
8/17/2021 13:45:05	Pelican	ATL	DPS	first_team
8/17/2021 13:45:05	Piggy	HOU	OT	first_team
8/17/2021 13:45:05	Skewed	LAG	MS/FS	first_team
8/17/2021 13:45:05	MuZe	LAG	MT	first_team
8/17/2021 13:45:05	Flora	NYXL	DPS	first_team
8/17/2021 13:45:05	Kaan	PAR	FS	first_team
8/17/2021 13:45:05	Gaebullssi	BOS	OT	second_team
8/17/2021 13:45:05	Mmonk	CDH	FS	second_team
8/17/2021 13:45:05	ChoiSehwan	GZC	DPS	second_team
8/17/2021 13:45:05	JJANGGU	HOU	MT	second_team
8/17/2021 13:45:05	Gwangboong	NYXL	DPS	second_team
8/17/2021 13:45:05	Dridro	PAR	MS	second_team
8/17/2021 13:52:06	Pelican	ATL	DPS	first_team
8/17/2021 13:52:06	Ga9a	CDH	MT	first_team
8/17/2021 13:52:06	Nisha	CDH	MS	first_team
8/17/2021 13:52:06	Piggy	HOU	OT	first_team
8/17/2021 13:52:06	Kaan	PAR	FS	first_team
8/17/2021 13:52:06	Aspire	TOR	DPS	first_team
8/17/2021 13:52:06	Gaebullssi	BOS	OT	second_team
8/17/2021 13:52:06	Mmonk	CDH	FS	second_team
8/17/2021 13:52:06	JJANGGU	HOU	MT	second_team
8/17/2021 13:52:06	Shy	HZS	DPS	second_team
8/17/2021 13:52:06	Feath5r	NYXL	DPS	second_team
8/17/2021 13:52:06	Dridro	PAR	MS	second_team
8/17/2021 13:52:46	Pelican	ATL	DPS	first_team
8/17/2021 13:52:46	Ga9a	CDH	MT	first_team
8/17/2021 13:52:46	Piggy	HOU	OT	first_team
8/17/2021 13:52:46	Shy	HZS	DPS	first_team
8/17/2021 13:52:46	Kaan	PAR	FS	first_team
8/17/2021 13:52:46	Dridro	PAR	MS	first_team
8/17/2021 13:52:46	Valentine	BOS	DPS	second_team
8/17/2021 13:52:46	Mmonk	CDH	FS	second_team
8/17/2021 13:52:46	Skewed	LAG	MS/FS	second_team
8/17/2021 13:52:46	MuZe	LAG	MT	second_team
8/17/2021 13:52:46	Flora	NYXL	DPS	second_team
8/17/2021 13:52:46	Vestola	PAR	OT	second_team
8/17/2021 13:54:59	Silver3	LAV	MT	first_team
8/17/2021 13:54:59	Showcheng	LAV	OT	first_team
8/17/2021 13:54:59	Molanran	LAV	DPS	first_team
8/17/2021 13:54:59	Highbee	LAV	MS	first_team
8/17/2021 13:54:59	Hadi	LDN	MT	first_team
8/17/2021 13:54:59	Hybrid	LDN	DPS	first_team
8/17/2021 13:54:59	Tarocook1e	CDH	DPS	second_team
8/17/2021 13:54:59	Checkmate	FLA	DPS/MT	second_team
8/17/2021 13:54:59	MYKaylee	GZC	DPS	second_team
8/17/2021 13:54:59	Molf1g	LDN	OT	second_team
8/17/2021 13:54:59	Develop	SHD	DPS	second_team
8/17/2021 13:54:59	Changsik	VAN	MT	second_team
8/17/2021 13:58:09	Pelican	ATL	DPS	first_team
8/17/2021 13:58:09	Mmonk	CDH	FS	first_team
8/17/2021 13:58:09	Ga9a	CDH	MT	first_team
8/17/2021 13:58:09	Nisha	CDH	MS	first_team
8/17/2021 13:58:09	Piggy	HOU	OT	first_team
8/17/2021 13:58:09	Shy	HZS	DPS	first_team
8/17/2021 13:58:09	Gaebullssi	BOS	OT	second_team
8/17/2021 13:58:09	Faith	BOS	MS	second_team
8/17/2021 13:58:09	Jimmy	CDH	DPS	second_team
8/17/2021 13:58:09	ChoiSehwan	GZC	DPS	second_team
8/17/2021 13:58:09	Kaan	PAR	FS	second_team
8/17/2021 13:58:09	Mag	WAS	MT	second_team
8/17/2021 13:58:58	Pelican	ATL	DPS	first_team
8/17/2021 13:58:58	Nisha	CDH	MS	first_team
8/17/2021 13:58:58	Piggy	HOU	OT	first_team
8/17/2021 13:58:58	Shy	HZS	DPS	first_team
8/17/2021 13:58:58	Skewed	LAG	MS/FS	first_team
8/17/2021 13:58:58	MuZe	LAG	MT	first_team
8/17/2021 13:58:58	Gaebullssi	BOS	OT	second_team
8/17/2021 13:58:58	Mmonk	CDH	FS	second_team
8/17/2021 13:58:58	Ga9a	CDH	MT	second_team
8/17/2021 13:58:58	ChoiSehwan	GZC	DPS	second_team
8/17/2021 13:58:58	Gwangboong	NYXL	DPS	second_team
8/17/2021 13:58:58	Dridro	PAR	MS	second_team
8/17/2021 13:59:02	Pelican	ATL	DPS	first_team
8/17/2021 13:59:02	Nisha	CDH	MS	first_team
8/17/2021 13:59:02	JJANGGU	HOU	MT	first_team
8/17/2021 13:59:02	Piggy	HOU	OT	first_team
8/17/2021 13:59:02	Shy	HZS	DPS	first_team
8/17/2021 13:59:02	Kaan	PAR	FS	first_team
